Date,aapl_price,nasdaq_price
12/3/13,17.885208,4037.199951
12/4/13,17.843529,4038
12/5/13,17.935104,4033.169922
12/6/13,17.686249,4062.52002
12/9/13,17.888681,4068.75
12/10/13,17.860893,4060.48999
12/11/13,17.728565,4003.810059
12/12/13,17.702671,3998.399902
12/13/13,17.509705,4000.97998
12/16/13,17.606659,4029.52002
12/17/13,17.527393,4023.679932
12/18/13,17.394121,4070.060059
12/19/13,17.194843,4058.139893
12/20/13,17.33885,4104.740234
12/23/13,18.004272,4148.899902
12/24/13,17.927851,4155.419922
12/26/13,17.808784,4167.180176
12/27/13,17.688463,4156.589844
12/30/13,17.512556,4154.200195
12/31/13,17.717834,4176.589844
1/2/14,17.468653,4143.069824
1/3/14,17.08494,4131.910156
1/6/14,17.178104,4113.680176
1/7/14,17.055254,4153.180176
1/8/14,17.16326,4165.609863
1/9/14,16.944086,4156.189941
1/10/14,16.831024,4174.669922
1/13/14,16.919138,4113.299805
1/14/14,17.255796,4183.02002
1/15/14,17.602242,4214.879883
1/16/14,17.504026,4218.689941
1/17/14,17.075142,4197.580078
1/21/14,17.340431,4225.759766
1/22/14,17.417494,4243
1/23/14,17.564976,4218.879883
1/24/14,17.245684,4128.169922
1/27/14,17.385588,4083.610107
1/28/14,15.996014,4097.959961
1/29/14,15.814418,4051.429932
1/30/14,15.783778,4123.129883
1/31/14,15.809678,4103.879883
2/3/14,15.839048,3996.959961
2/4/14,16.068333,4031.52002
2/5/14,16.188341,4011.550049
2/6/14,16.282698,4057.120117
2/7/14,16.510496,4125.859863
2/10/14,16.806276,4148.169922
2/11/14,17.027716,4191.049805
2/12/14,17.026443,4201.290039
2/13/14,17.296816,4240.669922
2/14/14,17.282829,4244.02002
2/18/14,17.346373,4272.779785
2/19/14,17.072514,4237.950195
2/20/14,16.874903,4267.549805
2/21/14,16.687456,4263.410156
2/24/14,16.760527,4292.970215
2/25/14,16.586107,4287.589844
2/26/14,16.436466,4292.060059
2/27/14,16.764338,4318.930176
2/28/14,16.718908,4308.120117
3/3/14,16.767199,4277.299805
3/4/14,16.877764,4351.970215
3/5/14,16.913342,4357.970215
3/6/14,16.86219,4352.129883
3/7/14,16.852343,4336.220215
3/10/14,16.867598,4334.450195
3/11/14,17.031845,4307.189941
3/12/14,17.04837,4323.330078
3/13/14,16.85902,4260.419922
3/14/14,16.669664,4245.399902
3/17/14,16.734795,4279.950195
3/18/14,16.882845,4333.310059
3/19/14,16.878401,4307.600098
3/20/14,16.797066,4319.290039
3/21/14,16.929546,4276.790039
3/24/14,17.130337,4226.390137
3/25/14,17.314606,4234.27002
3/26/14,17.149086,4173.580078
3/27/14,17.075375,4151.22998
3/28/14,17.056316,4155.759766
3/31/14,17.052504,4198.990234
4/1/14,17.208496,4268.040039
4/2/14,17.237083,4276.459961
4/3/14,17.11763,4237.740234
4/4/14,16.896187,4127.72998
